productline,productName,value,value_rank
Motorcycles,2003 Harley-Davidson Eagle Drag Bike,۵۷۲۹۳۶.۴۸,۲
Motorcycles,1969 Harley Davidson Ultimate Chopper,۳۷۱۹۷۸.۳۷,۳
Motorcycles,1997 BMW R 1100 S,۳۶۳۰۳۵.۵۲,۴
Motorcycles,1996 Moto Guzzi 1100i,۳۳۰۹۱۸.۷۵,۵
Motorcycles,1957 Vespa GS150,۲۲۴۶۷۲.۵۸,۶
Motorcycles,1936 Harley Davidson El Knucklehead,۱۵۸۳۳۳.۳۸,۷
Motorcycles,1974 Ducati 350 Mk3 Desmo,۱۵۳۴۱۸.۷۲,۸
Motorcycles,1982 Ducati 900 Monster,۱۵۱۵۷۴.۴۰,۹
Motorcycles,1982 Ducati 996 R,۱۴۸۶۸۷.۶۹,۱۰
Motorcycles,2002 Yamaha YZR M1,۲۸۳۱۴.۰۰,۱۱
Motorcycles,1997 BMW F650 ST,۵۸۶۸.۶۶,۱۲
Motorcycles,1960 BSA Gold Star DBD34,۵۸۲.۷۵,۱۳
Planes,1980s Black Hawk Helicopter,۴۲۸۶۳۸.۶۰,۱
Planes,ATA: B757-300,۴۲۱۵۲۷.۹۲,۲
Planes,American Airlines: MD-11S,۳۳۳۰۴۳.۲۰,۳
Planes,America West Airlines B757-200,۲۹۸۴۷۰.۷۶,۴
Planes,Corsair F4U ( Bird Cage),۲۶۴۹۸۶.۸۰,۵
Planes,American Airlines: B767-300,۲۳۴۷۴۹.۷۹,۶
Planes,1900s Vintage Bi-Plane,۲۰۳۵۷۲.۹۲,۷
Planes,1928 British Royal Navy Airplane,۱۵۴۸۰۰.۳۶,۸
Planes,1900s Vintage Tri-Plane,۹۹۸۲۲.۳۲,۹
Planes,Boeing X-32A JSF,۸۲۰۳۴.۷۳,۱۰
Planes,P-51-D Mustang,۳۵۱۹۶.۱۶,۱۱
Planes,F/A 18 Hornet 1/72,۱۴۱۰۵.۶۰,۱۲
Ships,The USS Constitution Ship,۲۷۱۳۴۹.۷۳,۱
Ships,The Queen Mary,۲۳۲۴۱۹.۸۴,۲
Ships,HMS Bounty,۱۷۷۴۶۵.۶۹,۳
Ships,1999 Yamaha Speed Boat,۱۴۶۵۵۲.۱۹,۴
Ships,The Titanic,۹۶۰۰۰.۴۸,۵
Ships,18th century schooner,۷۶۹۶۳.۹۰,۶
Ships,The Schooner Bluenose,۶۱۹۷۴.۹۹,۷
Ships,The Mayflower,۳۱۹۱۹.۴۷,۸
Ships,Pont Yacht,۸۸۱۸.۲۰,۹
Trains,1950's Chicago Surface Lines Streetcar,۳۰۴۶۴۷.۴۲,۱
Trains,Collectable Wooden Train,۲۱۴۶۵۶.۰۰,۲
Trains,1962 City of Detroit Streetcar,۳۴۶۹۳.۰۵,۳
Trucks and Buses,1964 Mercedes Tour Bus,۳۹۵۳۱۰.۴۶,۱
Trucks and Buses,1957 Chevy Pickup,۳۸۴۶۵۰.۰۰,۲
Trucks and Buses,1980’s GM Manhattan Express,۲۱۶۰۹۵.۶۲,۳
Trucks and Buses,1962 Volkswagen Microbus,۱۵۴۶۲۹.۱۵,۴
Trucks and Buses,1940 Ford Pickup Truck,۱۵۲۴۴۲.۴۲,۵
Trucks and Buses,1940s Ford truck,۱۱۳۶۰۸.۹۶,۶
Trucks and Buses,1958 Setra Bus,۹۲۷۹۷.۸۳,۷
Trucks and Buses,1954 Greyhound Scenicruiser,۸۰۸۴۵.۶۲,۸
Trucks and Buses,1926 Ford Fire Engine,۷۲۳۴۵.۳۰,۹
Trucks and Buses,Diamond T620 Semi-Skirted Tanker,۴۸۲۱۹.۳۶,۱۰
Trucks and Buses,1996 Peterbilt 379 Stake Bed with Outrigger,۲۵۲۵۸.۴۲,۱۱
Vintage Cars,1932 Model A Ford J-Coupe,۶۴۲۱۵۲.۱۰,۱
Vintage Cars,1912 Ford Model T Delivery Wagon,۳۸۱۵۹۶.۸۰,۲
Vintage Cars,1937 Lincoln Berline,۳۶۶۱۴۹.۱۶,۳
Vintage Cars,1917 Maxwell Touring Car,۳۲۹۷۳۴.۷۱,۴
Vintage Cars,1932 Alfa Romeo 8C2300 Spider Sport,۳۱۹۵۸۹.۸۱,۵
Vintage Cars,1904 Buick Runabout,۲۹۱۰۶۱.۹۰,۶
Vintage Cars,1903 Ford Model A,۲۶۷۲۱۸.۷۷,۷
Vintage Cars,18th Century Vintage Horse Carriage,۲۶۳۵۲۸.۱۶,۸
Vintage Cars,1936 Mercedes-Benz 500K Special Roadster,۲۵۶۰۲۷.۷۵,۹
Vintage Cars,1940 Ford Delivery Sedan,۲۳۳۱۹۱.۶۲,۱۰
Vintage Cars,1917 Grand Touring Sedan,۲۲۶۹۰۹.۲۰,۱۱
Vintage Cars,1936 Chrysler Airflow,۱۸۸۰۷۰.۳۰,۱۲
Vintage Cars,1939 Cadillac Limousine,۱۸۰۵۴۴.۶۵,۱۳
Vintage Cars,1913 Ford Model T Speedster,۱۶۹۷۸۰.۱۷,۱۴
Vintage Cars,1934 Ford V8 Coupe,۱۵۸۷۹۳.۳۹,۱۵
Vintage Cars,1930 Buick Marquette Phaeton,۱۱۷۰۸۷.۹۶,۱۶
Vintage Cars,1937 Horch 930V Limousine,۱۱۴۴۸۳.۹۰,۱۷
Vintage Cars,1941 Chevrolet Special Deluxe Cabriolet,۹۸۱۸۷.۶۲,۱۸
Vintage Cars,1939 Chevrolet Deluxe Coupe,۷۷۸۶۵.۸۴,۱۹
Vintage Cars,1938 Cadillac V-16 Presidential Limousine,۶۸۸۶۸.۹۳,۲۰
Vintage Cars,1928 Mercedes-Benz SSK,۵۲۷۱۲.۱۲,۲۱
Vintage Cars,1936 Mercedes Benz 500k Roadster,۴۰۱۲۱.۶۸,۲۲
Vintage Cars,1911 Ford Town Car,۱۴۷۰۹.۶۰,۲۳
Vintage Cars,1928 Ford Phaeton Deluxe,۴۸۶۴.۷۲,۲۴
